Filename,Identifier,IE_krr,IE_exp
100-48-1,N#Cc1ccncc1,27.2874514003,nan
3721-95-7,OC(=O)C1CCC1,36.2545662649,nan
1724-39-6,OC1CCCCCCCCCCC1,2.338492202,nan
830-13-7,O=C1CCCCCCCCCCC1,18.0836114291,nan
1460-16-8,OC(=O)C1CCCCCC1,23.4366476642,nan
502-42-1,O=C1CCCCCC1,19.0848398903,nan
931-17-9,OC1CCCCC1O,14.8062397709,nan
504-01-8,OC1CCCC(O)C1,12.5591379749,nan
556-48-9,OC1CCC(O)CC1,7.6596206313,nan
765-87-7,O=C1CCCCC1=O,38.90412605,nan
504-02-9,O=C1CCCC(=O)C1,34.6164475615,nan
6975-71-9,N#CCC1=CCCCC1,34.5144959569,nan
5292-21-7,OC(=O)CC1CCCCC1,30.7742608513,nan
827-52-1,C1CCC(CC1)c2ccccc2,42.9366774049,nan
100-49-2,OCC1CCCCC1,12.9310752536,nan
3400-45-1,OC(=O)C1CCCC1,26.9413588901,nan
96-41-3,OC1CCCC1,3.4091935153,nan
120-92-3,O=C1CCCC1,16.9524600326,nan
930-30-3,O=C1CCC=C1,34.1741770006,nan
140-77-2,OC(=O)CCC1CCCC1,27.9279719584,nan
345909-32-2,[NH3+][C@@H](CS)C([O-])=O,27.4867927052,nan
56-89-3,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,22.6412350417,nan
65-46-3,NC1=NC(=O)N(C=C1)C2OC(CO)C(O)C2O,31.9785689169,nan
693-23-2,OC(=O)CCCCCCCCCCC(O)=O,48.282266258,nan
520-45-6,CC(=O)C1C(=O)OC(=CC1=O)C,58.4188464785,nan
451-40-1,O=C(Cc1ccccc1)c2ccccc2,57.9716169255,nan
154-17-6,OCC1OC(O)CC(O)C1O,29.265872846,nan
582-52-5,CC1(C)OCC(O1)C2OC3OC(C)(C)OC3C2O,31.3561455822,nan
619-05-6,Nc1ccc(cc1N)C([O-])=O,52.0702647286,nan
616-29-5,NCC(O)CN,-39.3717208834,nan
56-06-4,NC1=CC(=O)N=C(N)N1,4.1296741167,nan
2243-62-1,Nc1cccc2c(N)cccc12,38.5144766078,nan
13754-19-3,Nc1cncnc1N,-11.9211673326,nan
496-72-0,Cc1ccc(N)c(N)c1,23.0493948197,nan
1455-77-2,Nc1[nH]nc(N)n1,7.820760616,nan
2222-33-5,O=C1c2ccccc2C=Cc3ccccc13,70.5480332044,nan
132-65-0,s1c2ccccc2c3ccccc13,57.6657380597,nan
959-28-4,O=C(\C=C\C(=O)c1ccccc1)c2ccccc2,66.3242674637,nan
120-46-7,O=C(CC(=O)c1ccccc1)c2ccccc2,62.1477159993,nan
5447-02-9,O=Cc1ccc(OCc2ccccc2)c(OCc3ccccc3)c1,62.8629733709,nan
1020-31-1,CC(C)(C)c1cc(O)c(O)c(c1)C(C)(C)C,22.6923397055,nan
128-37-0,Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,17.0750053314,nan
128-39-2,CC(C)(C)c1cccc(c1O)C(C)(C)C,17.810801337,nan
461-58-5,NC(N)=NC#N,-0.3855355325,nan
623-26-7,N#Cc1ccc(cc1)C#N,44.0929522024,nan
2387-23-7,O=C(NC1CCCCC1)NC2CCCCC2,4.4416975003,nan
1068-90-2,CCOC(=O)C(NC(C)=O)C(=O)OCC,23.4405485799,nan
1115-30-6,CCOC(=O)CC(C(C)=O)C(=O)OCC,36.2090640029,nan
2049-80-1,CCOC(=O)C(CC=C)C(=O)OCC,32.6955426084,nan
91-44-1,CCN(CC)c1ccc2C(=CC(=O)Oc2c1)C,33.0784999251,nan
105-05-5,CCc1ccc(CC)cc1,42.3475775528,nan
105-58-8,CCOC(=O)OCC,21.0375712459,nan
133-13-1,CCOC(=O)C(CC)C(=O)OCC,26.6565566654,nan
6326-44-9,CCOC(=O)C(NC=O)C(=O)OCC,25.9692463887,nan
623-91-6,CCOC(=O)\C=C\C(=O)OCC,42.1850894828,nan
3710-84-7,CCN(O)CC,-34.9928161104,nan
609-09-6,CCOC(=O)C(=O)C(=O)OCC,49.3817019794,nan
141-05-9,CCOC(=O)\C=C/C(=O)OCC,38.887816247,nan
105-53-3,CCOC(=O)CC(=O)OCC,32.7777261865,nan
84-66-2,CCOC(=O)c1ccccc1C(=O)OCC,55.783439164,nan
134-62-3,CCN(CC)C(=O)c1cccc(C)c1,15.2097334738,nan
628-36-4,O=CNNC=O,-15.8046012021,nan
4480-83-5,O=C1COCC(=O)O1,68.4757864251,nan
1210-35-1,O=C1c2ccccc2CCc3ccccc13,66.8147870659,nan
89-84-9,CC(=O)c1ccc(O)cc1O,49.4248225499,nan
490-78-8,CC(=O)c1cc(O)ccc1O,49.2394749479,nan
699-83-2,CC(=O)c1c(O)cccc1O,54.6004505276,nan
117-10-2,Oc1cccc2C(=O)c3cccc(O)c3C(=O)c12,79.4415407973,nan
1194-98-5,Oc1ccc(O)c(C=O)c1,55.7162299279,nan
10272-07-8,COc1cc(N)cc(OC)c1,31.8171484848,nan
86-51-1,COc1cccc(C=O)c1OC,52.623544573,nan
613-45-6,COc1ccc(C=O)c(OC)c1,50.4390726239,nan
4553-07-5,CCOC(=O)C(C#N)c1ccccc1,57.5226776587,nan
2216-94-6,CCOC(=O)C#Cc1ccccc1,58.8213850697,nan
2955-88-6,OCCN1CCCC1,-30.4760252499,nan
1689-64-1,OC1c2ccccc2c3ccccc13,66.7538502561,nan
1953-54-4,Oc1ccc2[nH]ccc2c1,43.2975265402,nan
6554-98-9,Oc1ccc(cc1)\C=C\c2ccccc2,57.8445553065,nan
453-20-3,OC1CCOC1,12.1936764497,nan
139-85-5,Oc1ccc(C=O)cc1O,58.467137422,nan
89-86-1,OC(=O)c1ccc(O)cc1O,64.7950622873,nan
303-07-1,OC(=O)c1c(O)cccc1O,69.8020315921,nan
99-50-3,OC(=O)c1ccc(O)c(O)c1,58.2839183698,nan
99-10-5,OC(=O)c1cc(O)cc(O)c1,55.5590593027,nan
611-99-4,Oc1ccc(cc1)C(=O)c2ccc(O)cc2,58.6781373776,nan
331-39-5,OC(=O)\C=C/c1ccc(O)c(O)c1,55.9694956525,nan
504-17-6,O=C1CC(=O)NC(=S)N1,38.5499159933,nan
1979-98-2,CSC1=NC(=CC(=O)N1)O,27.2678265343,nan
83-56-7,Oc1cccc2c(O)cccc12,57.7243346892,nan
92-44-4,Oc1cc2ccccc2cc1O,63.9913274057,nan
581-43-1,Oc1ccc2cc(O)ccc2c1,60.634845407,nan
582-17-2,Oc1ccc2ccc(O)cc2c1,60.0482740434,nan
479-18-5,CN1C(=O)N(C)c2ncn(CC(O)CO)c2C1=O,1.9317296636,nan
1193-24-4,OC1=CC(=O)NC=N1,10.7556213109,nan
59-00-7,OC(=O)C1=CC(=O)c2cccc(O)c2N1,64.4069579375,nan
4064-06-6,CC1(C)OC2OC(CO)C3OC(C)(C)OC3C2O1,30.6122719312,nan
1072-71-5,S=C1NNC(=S)S1,38.0098790357,nan
1201-38-3,COc1ccc(OC)c(c1)C(C)=O,46.623324113,nan
2735-04-8,COc1ccc(N)c(OC)c1,28.9085691489,nan
93-02-7,COc1ccc(OC)c(C=O)c1,53.8898189564,nan
150-78-7,COc1ccc(OC)cc1,38.8283961734,nan
1521-38-6,COc1cccc(C(O)=O)c1OC,60.2605187361,nan
1466-76-8,COc1cccc(OC)c1C(O)=O,62.105993882,nan
93-07-2,COc1ccc(cc1OC)C(O)=O,54.0319376475,nan
1132-21-4,COc1cc(OC)cc(c1)C(O)=O,55.4613714752,nan
93-03-8,COc1ccc(CO)cc1OC,40.29439946,nan
2316-26-9,COc1ccc(/C=C/C(O)=O)cc1OC,56.7010018808,nan
332-77-4,COC1OC(OC)C=C1,32.9257721075,nan
2478-38-8,COc1cc(cc(OC)c1O)C(C)=O,51.1221123951,nan
530-59-6,COc1cc(\C=C\C(O)=O)cc(OC)c1O,61.7307620285,nan
91-10-1,COc1cccc(OC)c1O,46.2485645436,nan
93-40-3,COc1ccc(CC(O)=O)cc1OC,49.2529818244,nan
4705-34-4,COc1ccc(cc1)/C=C/c2ccc(OC)cc2,56.9469613933,nan
1830-54-2,COC(=O)CC(=O)CC(=O)OC,44.4726073763,nan
58-15-1,CN(C)C1=C(C)N(C)N(c2ccccc2)C1=O,-2.8325819695,nan
99-64-9,CN(C)c1cccc(c1)C(O)=O,19.32387289,nan
619-84-1,CN(C)c1ccc(cc1)C(O)=O,20.007731701,nan
1197-19-9,CN(C)c1ccc(cc1)C#N,29.4939327364,nan
6203-18-5,CN(C)c1ccc(\C=C\C=O)cc1,26.0703597843,nan
99-07-0,CN(C)c1cccc(O)c1,0.6636756541,nan
87-62-7,Cc1cccc(C)c1N,37.6769941341,nan
874-63-5,COc1cc(C)cc(C)c1,35.1921928027,nan
781-43-1,Cc1c2ccccc2c(C)c3ccccc13,55.3745114835,nan
582-60-5,Cc1cc2[nH]cnc2cc1C,36.9743818076,nan
619-04-5,Cc1ccc(cc1C)C([O-])=O,63.3416214612,nan
